['112', '329', '331', '192', '87', '372', '377', '204', '17', '263', '229', '53', '223', '356', '252', '309', '253', '27', '353', '321']
['236', '347', '340', '129', '339', '297', '10', '396', '35', '243', '351', '39', '24', '159', '68', '323', '389', '49', '235', '278']
['69', '322', '141', '120', '202', '11', '314', '280', '65', '75', '301', '384', '175', '217', '122', '36', '84', '226', '94', '233']
['212', '42', '153', '261', '187', '16', '241', '131', '125', '196', '370', '23', '184', '158', '325', '209', '228', '267', '216', '155']
['289', '341', '363', '67', '298', '91', '371', '38', '74', '0', '111', '343', '246', '214', '264', '62', '157', '300', '44', '227']
['316', '249', '95', '50', '86', '244', '128', '206', '176', '295', '32', '277', '101', '145', '100', '274', '102', '140', '218', '98']
['376', '85', '46', '113', '224', '48', '169', '393', '368', '73', '328', '337', '177', '54', '271', '251', '332', '45', '357', '199']
['349', '354', '348', '121', '115', '12', '230', '287', '276', '391', '60', '232', '317', '108', '146', '168', '104', '52', '211', '15']
['118', '326', '310', '14', '207', '34', '20', '25', '200', '154', '26', '380', '258', '82', '64', '238', '92', '57', '194', '143']
['262', '257', '239', '6', '306', '78', '190', '166', '66', '333', '182', '344', '285', '359', '208', '174', '109', '144', '117', '365']
['198', '136', '59', '247', '133', '185', '231', '397', '37', '221', '93', '215', '293', '270', '398', '292', '170', '83', '303', '382']
['392', '205', '151', '55', '195', '374', '71', '58', '97', '51', '286', '180', '305', '254', '327', '388', '256', '234', '103', '189']
['313', '96', '381', '336', '89', '308', '165', '269', '147', '148', '219', '210', '183', '99', '22', '19', '134', '318', '248', '123']
['162', '366', '330', '201', '315', '56', '138', '311', '373', '242', '132', '281', '259', '355', '279', '268', '127', '307', '296', '294']
['220', '171', '260', '18', '275', '299', '31', '167', '375', '197', '213', '360', '245', '386', '203', '181', '367', '369', '334', '178']
['105', '106', '191', '283', '3', '70', '222', '21', '80', '324', '302', '142', '7', '40', '135', '29', '41', '379', '88', '362']
['282', '312', '77', '364', '33', '160', '13', '240', '43', '5', '149', '265', '350', '130', '335', '395', '9', '288', '342', '390']
['338', '266', '378', '124', '273', '61', '250', '193', '345', '107', '110', '172', '126', '361', '63', '385', '79', '358', '284', '114']
['2', '179', '139', '8', '394', '387', '346', '352', '383', '272', '186', '164', '152', '4', '161', '399', '163', '173', '28', '237']
['47', '30', '137', '290', '76', '255', '81', '1', '188', '320', '150', '90', '119', '319', '72', '116', '304', '225', '291', '156']
