['32', '324', '69', '7', '183', '188', '381']
['16', '355', '20', '315', '286', '334', '47']
['100', '149', '326', '254', '72', '317', '142']
['48', '370', '404', '405', '409', '283', '61']
['450', '390', '456', '264', '410', '444', '46']
['193', '449', '179', '373', '280', '235', '398']
['0', '80', '51', '87', '137', '331', '319']
['384', '272', '354', '243', '357', '105', '62']
['4', '342', '391', '88', '316', '30', '367']
['49', '194', '300', '440', '330', '172', '110']
['164', '196', '132', '229', '168', '393', '175']
['248', '1', '273', '200', '185', '74', '299']
['336', '246', '471', '27', '25', '247', '174']
['163', '387', '389', '182', '425', '446', '31']
['401', '275', '147', '197', '214', '439', '206']
['417', '33', '419', '19', '107', '155', '158']
['464', '181', '374', '232', '26', '284', '350']
['321', '386', '210', '133', '343', '458', '59']
['368', '400', '383', '447', '459', '478', '223']
['192', '82', '50', '249', '122', '301', '253']
['98', '99', '372', '406', '106', '380', '333']
['208', '65', '35', '201', '156', '28', '95']
['145', '290', '195', '227', '231', '63', '127']
['433', '434', '484', '308', '310', '347', '14']
['3', '116', '220', '10', '11', '364', '219']
['356', '261', '437', '138', '282', '268', '397']
['407', '485', '167', '298', '251', '396', '462']
['96', '130', '52', '245', '328', '474', '79']
['257', '68', '469', '135', '441', '94', '239']
['91', '186', '123', '140', '125', '302', '255']
['288', '124', '34', '70', '24', '43', '60']
['144', '385', '418', '420', '351', '473', '463']
['36', '293', '341', '488', '121', '411', '414']
['480', '292', '309', '376', '8', '443', '271']
['180', '58', '454', '455', '42', '445', '222']
['226', '291', '146', '93', '234', '45', '190']
['465', '403', '325', '21', '39', '136', '56']
['176', '402', '422', '166', '281', '173', '191']
['161', '162', '466', '84', '263', '460', '15']
['432', '289', '483', '260', '211', '442', '395']
['477', '312', '307', '486', '360', '77', '413']
['320', '448', '112', '242', '213', '54', '159']
['305', '451', '421', '38', '86', '296', '366']
['244', '5', '438', '327', '426', '412', '349']
['240', '131', '276', '53', '277', '318', '207']
['17', '101', '165', '311', '202', '379', '252']
['258', '259', '340', '233', '250', '475', '365']
['143', '337', '375', '40', '363', '461', '431']
['129', '388', '71', '184', '313', '269']
['408', '198', '295', '118', '346', '476', '76']
['369', '67', '279', '457', '203', '12', '29']
['224', '81', '482', '265', '139', '429', '377']
['306', '332', '470', '487', '344', '428', '236']
['64', '430', '154', '423', '170', '285', '378']
['209', '83', '278', '103', '104', '9', '141']
['160', '113', '323', '436', '37', '152', '266']
['256', '241', '452', '453', '294', '150', '216']
['177', '339', '348', '392', '267', '108', '157']
['153', '371', '262', '199', '230', '41', '335']
['304', '338', '6', '169', '126', '109', '237']
['119', '415', '73', '90', '57', '13', '303']
['352', '225', '55', '359', '345', '89', '215']
['178', '23', '151', '362', '427', '44', '221']
['18', '212', '468', '134', '218', '92', '479']
['97', '274', '217', '472', '297', '171', '270']
['2', '435', '189', '75', '187', '382', '111']
['102', '204', '238', '467', '148', '117', '85']
['416', '322', '358', '424', '205', '399', '114']
['228', '329', '394', '361', '78', '120', '314']
['128', '481', '66', '353', '115', '22', '287']
