['3', '166', '9', '107', '109', '46', '53', '152', '155', '94']
['68', '197', '10', '175', '144', '47', '25', '26', '187', '60']
['163', '228', '101', '142', '143', '18', '179', '21', '216', '221']
['162', '227', '229', '141', '15', '240', '50', '245', '185', '63']
['128', '225', '66', '238', '207', '49', '248', '59', '120', '61']
['160', '97', '33', '75', '11', '235', '149', '119', '124', '30']
['104', '173', '78', '243', '181', '24', '57', '154', '93', '191']
['32', '132', '70', '71', '231', '167', '200', '86', '89', '95']
['224', '103', '171', '176', '113', '114', '242', '211', '210', '215']
['1', '100', '69', '232', '138', '43', '206', '112', '241', '183']
['192', '0', '6', '205', '208', '146', '178', '51', '158', '31']
['34', '8', '105', '170', '136', '14', '174', '48', '214', '222']
['198', '199', '106', '77', '148', '22', '182', '122', '156', '223']
['135', '202', '12', '17', '244', '54', '184', '90', '123', '159']
['35', '196', '230', '7', '169', '172', '45', '116', '213', '219']
['64', '98', '36', '40', '42', '80', '212', '247', '125', '190']
['102', '140', '237', '110', '19', '83', '150', '56', '217', '62']
['67', '236', '147', '84', '52', '189', '55', '218', '91', '29']
['193', '226', '4', '201', '203', '239', '177', '81', '20', '246']
['164', '72', '234', '204', '13', '180', '58', '188', '126', '127']
['130', '99', '195', '39', '73', '115', '85', '117', '27', '28']
['129', '37', '137', '233', '139', '108', '209', '87', '121', '186']
['65', '131', '249', '165', '134', '76', '111', '145', '88', '153']
['96', '194', '5', '38', '44', '79', '82', '118', '151', '220']
['161', '2', '133', '168', '41', '74', '16', '23', '92', '157']
