['329', '44', '334', '207', '15', '49', '306', '53', '343', '286']
['290', '102', '271', '114', '275', '84', '88', '153', '90', '60']
['32', '38', '294', '265', '239', '112', '185', '27', '190', '159']
['68', '164', '326', '204', '241', '87', '120', '218', '157', '31']
['229', '330', '365', '272', '147', '246', '344', '123', '380', '381']
['230', '359', '201', '362', '173', '17', '282', '220', '158', '127']
['386', '388', '395', '364', '396', '335', '337', '243', '276', '376']
['2', '281', '39', '105', '268', '77', '175', '277', '22', '57']
['289', '324', '261', '69', '263', '361', '269', '309', '21', '24']
['192', '226', '103', '168', '80', '188', '83', '180', '55', '279']
['99', '390', '7', '296', '298', '399', '85', '375', '58', '382']
['328', '10', '305', '338', '371', '20', '341', '213', '308', '319']
['64', '323', '387', '358', '391', '143', '273', '23', '312', '250']
['384', '389', '393', '331', '332', '333', '12', '278', '25', '350']
['193', '66', '37', '167', '169', '110', '148', '152', '317', '221']
['65', '200', '139', '107', '236', '206', '51', '119', '189', '191']
['196', '72', '111', '177', '379', '374', '247', '251', '93', '287']
['1', '385', '299', '398', '339', '372', '342', '150', '121', '254']
['228', '6', '135', '202', '45', '141', '242', '244', '315', '253']
['224', '195', '165', '137', '138', '14', '178', '280', '377', '125']
['96', '128', '288', '0', '198', '172', '211', '56', '156', '62']
['129', '163', '101', '166', '71', '73', '145', '214', '182', '217']
['322', '270', '176', '283', '19', '149', '313', '219', '92', '285']
['353', '354', '8', '42', '303', '16', '81', '336', '122', '252']
['225', '36', '357', '5', '327', '262', '203', '140', '46', '61']
['162', '106', '144', '274', '212', '117', '181', '151', '346', '28']
['34', '104', '235', '142', '238', '208', '79', '54', '154', '223']
['194', '35', '133', '197', '70', '234', '237', '48', '155', '349']
['33', '259', '132', '360', '108', '174', '209', '82', '347', '187']
['320', '160', '258', '291', '394', '11', '18', '370', '89', '383']
['161', '355', '4', '293', '199', '116', '216', '378', '91', '95']
['295', '266', '74', '76', '170', '78', '210', '186', '29', '318']
['100', '40', '301', '109', '52', '245', '310', '345', '284', '255']
['131', '356', '260', '136', '264', '115', '86', '311', '126', '63']
['257', '97', '67', '205', '240', '179', '118', '184', '124', '94']
['227', '325', '171', '75', '366', '367', '146', '249', '314', '30']
['256', '321', '3', '392', '233', '9', '113', '340', '248', '26']
['352', '292', '41', '397', '304', '50', '215', '348', '222', '351']
['130', '134', '231', '232', '363', '267', '43', '302', '47', '59']
['98', '297', '300', '13', '368', '369', '307', '373', '183', '316']
