['481', '386', '291', '260', '167', '12', '17', '52', '285', '63']
['321', '195', '425', '366', '335', '209', '373', '118', '472', '350']
['416', '353', '387', '197', '139', '339', '83', '312', '94', '414']
['104', '171', '78', '272', '112', '464', '243', '276', '88', '125']
['263', '363', '141', '208', '315', '277', '470', '121', '379', '61']
['97', '230', '135', '490', '365', '14', '305', '152', '409', '478']
['440', '395', '331', '16', '147', '180', '342', '375', '184', '159']
['108', '13', '460', '431', '143', '369', '493', '341', '120', '30']
['224', '448', '419', '72', '499', '403', '22', '376', '281', '446']
['227', '196', '6', '103', '202', '43', '267', '82', '439', '89']
['453', '37', '165', '40', '233', '392', '271', '19', '280', '157']
['228', '71', '298', '364', '77', '398', '20', '406', '249', '122']
['66', '131', '133', '175', '239', '337', '371', '377', '413', '222']
['288', '64', '324', '388', '394', '109', '432', '468', '92', '189']
['65', '229', '457', '237', '430', '84', '55', '23', '347', '124']
['480', '100', '357', '390', '42', '11', '178', '435', '245', '415']
['352', '33', '132', '479', '333', '397', '146', '247', '378', '95']
['452', '75', '300', '47', '79', '433', '467', '86', '25', '445']
['194', '482', '69', '359', '168', '361', '138', '473', '113', '153']
['1', '225', '8', '169', '244', '408', '217', '317', '190', '191']
['421', '102', '485', '7', '297', '266', '496', '242', '412', '382']
['484', '328', '488', '360', '299', '205', '240', '469', '21', '282']
['420', '389', '358', '200', '362', '427', '140', '301', '176', '400']
['134', '137', '461', '144', '50', '181', '119', '183', '91', '220']
['449', '98', '258', '5', '262', '41', '203', '402', '212', '28']
['407', '226', '99', '4', '423', '330', '149', '311', '26', '443']
['96', '417', '418', '426', '236', '336', '278', '254', '62', '31']
['192', '393', '10', '268', '80', '306', '274', '411', '85', '187']
['32', '385', '323', '422', '74', '48', '372', '340', '214', '444']
['101', '106', '44', '155', '206', '188', '316', '216', '27', '380']
['128', '320', '494', '114', '404', '116', '441', '474', '253', '127']
['34', '35', '492', '334', '273', '215', '410', '251', '343', '447']
['201', '9', '105', '241', '18', '179', '219', '156', '29', '158']
['289', '130', '295', '199', '107', '466', '437', '475', '381', '287']
['322', '68', '486', '455', '454', '367', '210', '338', '54', '59']
['67', '218', '250', '111', '81', '115', '51', '56', '154', '284']
['0', '198', '39', '428', '173', '399', '304', '310', '476', '351']
['193', '164', '325', '294', '148', '405', '57', '252', '126', '255']
['292', '264', '265', '368', '465', '145', '24', '349', '286', '319']
['257', '354', '450', '36', '110', '238', '370', '185', '314', '318']
['129', '2', '259', '172', '302', '303', '142', '307', '248', '477']
['384', '161', '293', '166', '327', '261', '329', '204', '462', '49']
['90', '487', '296', '459', '396', '429', '401', '345', '186', '123']
['326', '234', '308', '53', '309', '87', '344', '313', '58', '279']
['355', '451', '391', '232', '489', '46', '463', '497', '150', '93']
['290', '170', '458', '332', '15', '177', '275', '213', '283', '60']
['356', '231', '491', '76', '498', '434', '182', '471', '348', '223']
['162', '424', '73', '235', '346', '174', '207', '246', '438', '442']
['483', '70', '38', '456', '45', '495', '211', '436', '374', '221']
['160', '256', '163', '3', '136', '269', '270', '117', '151', '383']
