['186', '484', '134', '468', '212', '125', '148', '477', '20', '140']
['421', '485', '270', '83', '245', '46', '41', '35', '180', '164']
['315', '244', '368', '280', '332', '25', '70', '223', '499', '211']
['34', '464', '412', '406', '363', '101', '167', '465', '102', '170']
['183', '179', '272', '392', '374', '416', '216', '17', '184', '397']
['241', '271', '344', '295', '433', '370', '304', '206', '411', '264']
['30', '480', '7', '377', '150', '97', '19', '355', '495', '89']
['246', '231', '52', '149', '28', '281', '6', '481', '288', '336']
['96', '192', '76', '305', '249', '470', '42', '221', '12', '356']
['171', '454', '434', '424', '301', '410', '385', '240', '68', '247']
['287', '496', '198', '64', '82', '373', '146', '353', '293', '432']
['78', '313', '335', '395', '460', '142', '349', '306', '175', '13']
['90', '199', '196', '269', '239', '72', '346', '394', '122', '99']
['234', '242', '92', '152', '176', '321', '431', '274', '378', '303']
['185', '119', '379', '443', '2', '3', '415', '307', '133', '31']
['132', '382', '266', '448', '451', '361', '51', '209', '169', '159']
['168', '317', '407', '113', '73', '438', '230', '109', '227', '337']
['311', '334', '208', '289', '383', '342', '135', '220', '137', '213']
['462', '110', '491', '205', '362', '94', '308', '390', '338', '204']
['191', '237', '60', '400', '409', '5', '222', '453', '452', '351']
['333', '232', '57', '11', '15', '207', '203', '233', '115', '156']
['284', '69', '154', '0', '459', '131', '476', '259', '486', '202']
['174', '309', '493', '384', '218', '426', '278', '466', '314', '399']
['123', '59', '151', '141', '27', '62', '283', '408', '49', '449']
['243', '4', '319', '155', '63', '86', '261', '37', '455', '458']
['193', '469', '325', '262', '36', '197', '24', '358', '330', '22']
['323', '265', '440', '238', '354', '8', '391', '445', '446', '257']
['194', '229', '420', '88', '253', '116', '456', '53', '324', '279']
['104', '275', '106', '139', '190', '498', '77', '111', '263', '345']
['273', '128', '252', '129', '300', '256', '429', '138', '166', '286']
['387', '153', '158', '297', '360', '160', '296', '40', '427', '217']
['136', '282', '436', '195', '112', '255', '405', '366', '419', '403']
['359', '18', '126', '483', '467', '435', '372', '401', '9', '235']
['54', '74', '472', '189', '276', '225', '44', '108', '143', '214']
['475', '182', '423', '310', '85', '47', '398', '327', '173', '340']
['479', '414', '291', '248', '29', '103', '219', '177', '114', '165']
['127', '490', '425', '117', '350', '292', '328', '65', '294', '381']
['473', '478', '226', '417', '61', '341', '118', '84', '343', '471']
['413', '43', '347', '163', '482', '95', '488', '45', '58', '201']
['428', '100', '228', '376', '450', '66', '215', '444', '23', '181']
['339', '21', '267', '81', '494', '55', '326', '298', '487', '14']
['497', '430', '67', '161', '277', '120', '299', '369', '357', '87']
['365', '367', '210', '71', '389', '124', '79', '320', '10', '388']
['461', '290', '48', '172', '316', '492', '254', '93', '318', '147']
['285', '157', '371', '75', '121', '348', '200', '352', '364', '418']
['144', '447', '302', '474', '236', '1', '268', '312', '331', '39']
['380', '329', '130', '91', '26', '107', '105', '437', '56', '439']
['402', '251', '50', '422', '396', '441', '457', '442', '16', '187']
['258', '188', '80', '38', '260', '98', '489', '178', '162', '386']
['375', '404', '33', '32', '393', '145', '322', '224', '250', '463']
