['226', '36', '133', '357', '263', '392', '117', '318', '94', '160']
['328', '202', '431', '368', '464', '467', '86', '183', '410', '413']
['37', '269', '275', '308', '405', '342', '443', '412', '414', '96']
['101', '166', '199', '139', '75', '242', '341', '220', '126', '63']
['452', '358', '138', '333', '303', '85', '309', '469', '471', '475']
['288', '396', '398', '404', '246', '22', '441', '411', '383', '320']
['162', '2', '3', '454', '455', '268', '14', '110', '244', '473']
['4', '326', '9', '234', '46', '15', '120', '348', '351', '352']
['135', '232', '362', '11', '460', '55', '445', '125', '447', '256']
['324', '38', '365', '238', '174', '145', '306', '89', '346', '349']
['417', '66', '478', '8', '171', '430', '17', '91', '382', '224']
['35', '228', '104', '143', '175', '178', '21', '184', '315', '159']
['134', '72', '41', '137', '384', '239', '496', '115', '249', '192']
['130', '131', '69', '490', '271', '80', '49', '241', '189', '31']
['73', '201', '203', '300', '332', '146', '371', '180', '377', '188']
['481', '386', '105', '457', '363', '334', '116', '468', '407', '376']
['34', '483', '345', '420', '294', '423', '428', '25', '442', '283']
['440', '230', '330', '204', '109', '18', '277', '88', '347', '317']
['289', '227', '397', '79', '209', '370', '402', '53', '248', '64']
['225', '259', '112', '181', '437', '23', '438', '217', '90', '128']
['163', '103', '39', '302', '179', '307', '285', '312', '282', '93']
['65', '356', '108', '367', '400', '81', '182', '151', '152', '154']
['193', '5', '102', '206', '147', '52', '87', '185', '26', '92']
['353', '385', '323', '47', '340', '278', '124', '253', '222', '415']
['196', '297', '10', '208', '210', '214', '24', '57', '250', '61']
['194', '472', '390', '329', '395', '304', '212', '56', '281', '254']
['1', '258', '99', '261', '169', '267', '236', '173', '83', '148']
['290', '322', '418', '140', '401', '465', '119', '350', '190', '95']
['321', '485', '491', '429', '177', '369', '118', '150', '406', '480']
['450', '387', '393', '461', '243', '19', '279', '123', '127', '416']
['482', '355', '100', '165', '487', '136', '233', '374', '476', '477']
['71', '426', '459', '77', '462', '337', '434', '343', '375', '59']
['257', '195', '44', '12', '270', '301', '16', '272', '158', '319']
['486', '200', '424', '492', '142', '498', '435', '216', '314', '187']
['132', '292', '43', '172', '240', '336', '436', '379', '28', '157']
['97', '129', '164', '229', '389', '231', '45', '20', '373', '344']
['421', '167', '266', '463', '176', '273', '305', '433', '466', '378']
['198', '7', '295', '331', '366', '335', '339', '276', '149', '223']
['68', '155', '360', '205', '78', '111', '84', '372', '27', '156']
['451', '388', '456', '458', '274', '245', '439', '474', '251', '446']
['33', '107', '211', '500', '215', '247', '153', '186', '381', '255']
['168', '74', '299', '298', '113', '82', '380', '284', '286', '191']
['449', '67', '399', '207', '48', '432', '497', '408', '58', '444']
['197', '488', '425', '489', '494', '51', '403', '54', '60', '221']
['161', '98', '419', '422', '327', '40', '237', '311', '313', '219']
['218', '293', '325', '296', '106', '50', '213', '122', '287', '32']
['391', '264', '265', '394', '427', '144', '114', '310', '280', '121']
['354', '291', '260', '6', '361', '76', '141', '364', '316', '62']
['70', '359', '42', '170', '235', '13', '338', '252', '29', '30']
['484', '453', '262', '493', '495', '499', '470', '409', '479', '448']
