['202', '412', '198', '402']
['80', '113', '89', '55']
['2', '340', '66', '348']
['260', '93', '142', '230']
['161', '468', '95', '15']
['217', '140', '257', '311']
['368', '9', '211', '13']
['336', '441', '194', '453']
['130', '179', '20', '254']
['312', '19', '28', '399']
['323', '335', '222', '255']
['479', '84', '454', '455']
['298', '324', '378', '175']
['58', '242', '358', '247']
['185', '105', '379', '213']
['440', '297', '309', '431']
['32', '218', '203', '284']
['154', '51', '364', '150']
['115', '304', '339', '231']
['81', '37', '206', '423']
['184', '0', '338', '163']
['305', '308', '125', '62']
['345', '386', '390', '31']
['344', '410', '363', '189']
['288', '83', '60', '424']
['388', '362', '148', '23']
['409', '307', '261', '414']
['299', '165', '334', '167']
['321', '433', '44', '252']
['49', '477', '54', '87']
['40', '240', '418', '187']
['97', '210', '236', '5']
['186', '226', '68', '38']
['57', '178', '129', '281']
['408', '393', '251', '396']
['96', '434', '243', '445']
['331', '205', '118', '199']
['108', '397', '389', '295']
['46', '443', '6', '7']
['376', '346', '244', '485']
['384', '209', '385', '438']
['65', '42', '292', '134']
['448', '33', '138', '61']
['432', '458', '357', '463']
['73', '146', '401', '407']
['193', '139', '315', '271']
['291', '395', '373', '369']
['17', '59', '220', '25']
['353', '274', '452', '374']
['313', '394', '277', '237']
['88', '488', '355', '263']
['152', '196', '341', '464']
['216', '1', '67', '475']
['201', '63', '173', '375']
['112', '489', '387', '159']
['75', '188', '286', '351']
['328', '106', '429', '494']
['241', '180', '166', '102']
['200', '107', '492', '126']
['224', '26', '420', '367']
['465', '122', '259', '446']
['258', '325', '245', '486']
['267', '276', '214', '47']
['72', '137', '141', '238']
['456', '467', '221', '470']
['24', '90', '405', '310']
['483', '21', '326', '319']
['225', '290', '356', '229']
['232', '450', '352', '111']
['197', '383', '53', '79']
['204', '116', '119', '279']
['449', '34', '155', '349']
['320', '98', '133', '495']
['248', '444', '283', '332']
['169', '114', '156', '317']
['481', '484', '85', '289']
['208', '377', '43', '417']
['74', '27', '45', '398']
['416', '411', '147', '195']
['425', '419', '437', '215']
['382', '235', '300', '14']
['457', '466', '436', '22']
['64', '337', '400', '430']
['35', '131', '127', '207']
['322', '330', '293', '246']
['392', '181', '294', '183']
['256', '121', '4', '391']
['82', '227', '461', '151']
['18', '91', '100', '94']
['354', '132', '228', '70']
['250', '333', '149', '342']
['117', '99', '77', '439']
['361', '460', '365', '366']
['3', '157', '190', '30']
['459', '36', '421', '302']
['177', '153', '249', '253']
['192', '329', '282', '287']
['371', '359', '52', '39']
['162', '403', '50', '285']
['427', '275', '69', '278']
['296', '491', '428', '86']
['280', '435', '372', '78']
['273', '301', '158', '303']
['264', '170', '370', '269']
['136', '404', '76', '71']
['272', '12', '110', '191']
['219', '212', '327', '92']
['144', '347', '350', '239']
['442', '474', '406', '174']
['48', '234', '124', '135']
['233', '306', '11', '487']
['265', '426', '270', '343']
['145', '381', '101', '103']
['160', '176', '318', '447']
['128', '29', '120', '360']
['380', '164', '462', '478']
['473', '476', '172', '316']
['56', '123', '109', '451']
['104', '268', '182', '223']
['480', '471', '422', '143']
['490', '171', '413', '415']
['472', '8', '482', '469']
['16', '266', '493', '262']
['168', '41', '314', '10']
