['197', '6', '391', '199', '145', '151', '343', '285', '349', '163', '44', '45', '48', '50', '115', '52', '374', '247', '60', '383']
['204', '397', '334', '336', '341', '281', '154', '27', '221', '230', '102', '232', '360', '104', '235', '180', '244', '375', '123', '382']
['64', '3', '388', '68', '73', '394', '11', '12', '209', '91', '28', '286', '229', '231', '172', '173', '175', '378', '251', '253']
['256', '130', '2', '72', '137', '395', '140', '14', '19', '152', '153', '345', '157', '160', '236', '237', '303', '121', '59', '61']
['128', '5', '266', '269', '271', '24', '89', '29', '93', '289', '290', '38', '41', '233', '304', '114', '119', '377', '122', '315']
['67', '69', '329', '76', '144', '338', '26', '347', '33', '36', '168', '169', '362', '366', '368', '370', '371', '372', '376', '379']
['10', '202', '141', '77', '78', '23', '344', '30', '158', '31', '222', '352', '225', '226', '356', '296', '365', '302', '55', '184']
['65', '258', '387', '322', '133', '326', '7', '136', '200', '331', '339', '340', '34', '165', '42', '181', '53', '57', '58', '127']
['384', '261', '74', '13', '205', '15', '272', '83', '148', '276', '215', '298', '171', '367', '305', '241', '54', '380', '250', '316']
['390', '393', '138', '201', '332', '398', '142', '270', '21', '213', '342', '214', '25', '216', '350', '357', '47', '246', '187', '126']
['262', '135', '264', '268', '333', '80', '84', '88', '92', '96', '162', '98', '164', '294', '358', '301', '239', '49', '311', '124']
['259', '389', '392', '9', '330', '16', '18', '275', '278', '218', '348', '94', '159', '224', '101', '110', '369', '242', '117', '186']
['257', '386', '195', '273', '146', '20', '22', '248', '228', '103', '105', '234', '300', '109', '306', '307', '182', '56', '252', '63']
['129', '263', '203', '277', '150', '279', '149', '85', '155', '353', '100', '37', '295', '364', '238', '240', '112', '118', '313', '188']
['194', '132', '327', '71', '328', '399', '208', '210', '211', '87', '95', '354', '355', '292', '361', '170', '299', '62', '190', '191']
['385', '321', '323', '396', '207', '337', '82', '81', '220', '223', '32', '97', '293', '107', '363', '174', '243', '245', '254', '255']
['1', '4', '8', '143', '17', '147', '35', '43', '309', '189', '70', '198', '75', '335', '212', '227', '108', '111', '116', '249']
['0', '260', '274', '284', '161', '291', '39', '176', '177', '179', '185', '319', '320', '324', '325', '219', '106', '113', '373', '381']
['134', '265', '267', '280', '282', '283', '166', '167', '40', '297', '46', '312', '314', '317', '318', '206', '79', '346', '351', '120']
['131', '139', '156', '287', '288', '178', '51', '308', '310', '183', '192', '193', '66', '196', '86', '217', '90', '99', '359', '125']
