['389', '391', '393', '298', '394', '395', '396', '208', '284', '191']
['64', '321', '324', '101', '199', '232', '239', '61', '348', '285']
['162', '260', '166', '167', '104', '172', '142', '175', '147', '57']
['160', '290', '169', '233', '331', '11', '302', '309', '279', '319']
['2', '3', '330', '106', '267', '81', '82', '85', '188', '29']
['352', '65', '225', '361', '363', '271', '84', '89', '187', '220']
['69', '198', '136', '333', '334', '337', '339', '311', '253', '381']
['0', '99', '292', '262', '266', '113', '243', '244', '120', '121']
['192', '68', '141', '47', '48', '16', '146', '116', '280', '281']
['195', '293', '397', '399', '240', '49', '307', '245', '93', '62']
['355', '110', '238', '111', '176', '373', '117', '119', '184', '123']
['128', '6', '71', '7', '8', '272', '274', '114', '342', '87']
['258', '226', '291', '210', '242', '51', '213', '247', '216', '215']
['320', '256', '164', '392', '398', '149', '181', '152', '377', '346']
['129', '294', '38', '73', '300', '204', '78', '211', '212', '214']
['386', '131', '296', '138', '139', '108', '109', '118', '374', '379']
['257', '102', '390', '360', '105', '42', '45', '366', '144', '31']
['70', '72', '12', '17', '19', '275', '53', '371', '375', '248']
['227', '229', '134', '203', '273', '372', '308', '278', '91', '221']
['264', '77', '237', '28', '50', '21', '22', '344', '252', '63']
['32', '163', '100', '265', '301', '303', '304', '369', '310', '59']
['1', '201', '362', '107', '206', '367', '207', '18', '183', '316']
['200', '205', '370', '115', '83', '376', '378', '88', '318', '287']
['33', '223', '387', '388', '168', '20', '23', '27', '156', '127']
['159', '158', '364', '150', '254', '25', '155', '157', '94', '286']
['193', '194', '322', '196', '325', '295', '236', '270', '276', '122']
['96', '289', '288', '35', '327', '329', '345', '58', '347', '126']
['161', '34', '259', '5', '43', '44', '314', '46', '313', '282']
['230', '40', '9', '170', '171', '140', '269', '173', '177', '145']
['165', '326', '263', '268', '305', '148', '86', '54', '283', '124']
['98', '36', '41', '174', '336', '112', '178', '179', '52', '26']
['130', '133', '135', '368', '209', '55', '56', '219', '189', '30']
['66', '37', '358', '231', '39', '137', '241', '182', '343', '185']
['224', '353', '354', '261', '359', '306', '312', '249', '251', '350']
['97', '67', '323', '10', '250', '13', '15', '277', '154', '351']
['90', '297', '202', '299', '75', '95', '186', '315', '222', '255']
['384', '385', '74', '340', '380', '217', '60', '317', '382', '383']
['103', '328', '180', '151', '24', '153', '218', '92', '125', '190']
['132', '356', '357', '76', '365', '335', '143', '338', '341', '246']
['4', '197', '228', '234', '235', '332', '14', '79', '80', '349']
