['225', '5', '7', '136', '79', '241', '51', '19', '151', '254']
['33', '129', '169', '233', '139', '240', '181', '118', '90', '93']
['2', '294', '296', '75', '267', '141', '116', '21', '215', '56']
['259', '292', '132', '166', '133', '170', '16', '149', '185', '63']
['164', '168', '9', '266', '76', '115', '189', '22', '278', '61']
['67', '69', '288', '263', '6', '235', '172', '175', '150', '128']
['34', '291', '293', '297', '202', '145', '55', '248', '121', '188']
['97', '226', '163', '35', '11', '268', '45', '43', '53', '222']
['1', '4', '138', '203', '108', '18', '23', '30', '95', '256']
['103', '295', '234', '270', '208', '83', '213', '279', '89', '253']
['98', '206', '207', '111', '209', '277', '282', '252', '285', '62']
['227', '262', '41', '271', '112', '243', '117', '120', '184', '155']
['194', '3', '264', '238', '276', '85', '244', '212', '214', '186']
['131', '73', '47', '81', '242', '179', '54', '123', '29', '32']
['65', '196', '228', '36', '20', '245', '122', '283', '158', '224']
['232', '105', '176', '177', '146', '217', '26', '60', '286', '64']
['260', '230', '199', '200', '74', '204', '237', '275', '88', '58']
['289', '162', '68', '137', '106', '171', '13', '77', '57', '190']
['39', '173', '143', '49', '246', '216', '250', '187', '157', '96']
['130', '290', '38', '71', '72', '44', '281', '221', '94', '191']
['101', '124', '80', '210', '147', '180', '218', '27', '92', '255']
['99', '42', '298', '107', '82', '148', '52', '84', '24', '125']
['165', '134', '48', '17', '182', '247', '119', '153', '251', '127']
['193', '195', '197', '299', '140', '239', '273', '178', '28', '223']
['161', '37', '70', '40', '201', '12', '114', '183', '91', '31']
['257', '258', '198', '167', '104', '272', '154', '219', '156', '126']
['231', '236', '269', '46', '205', '78', '109', '144', '86', '280']
['192', '102', '135', '142', '15', '274', '152', '220', '159', '287']
['66', '100', '261', '10', '174', '14', '211', '249', '284', '160']
['229', '8', '265', '300', '110', '113', '50', '87', '25', '59']
