['11', '194', '51', '192']
['210', '155', '213', '235']
['81', '114', '31', '159']
['152', '89', '90', '229']
['49', '154', '60', '202']
['65', '50', '133', '86']
['172', '156', '198', '207']
['128', '8', '122', '176']
['9', '130', '59', '241']
['248', '64', '21', '95']
['58', '107', '244', '203']
['106', '99', '52', '174']
['232', '227', '12', '119']
['100', '75', '76', '38']
['94', '10', '179', '30']
['217', '35', '220', '25']
['48', '73', '37', '134']
['80', '142', '116', '102']
['16', '173', '101', '189']
['216', '33', '191', '23']
['144', '32', '204', '4']
['27', '124', '117', '55']
['218', '36', '29', '78']
['160', '18', '187', '197']
['105', '225', '13', '239']
['98', '28', '14', '44']
['96', '242', '26', '150']
['200', '40', '85', '231']
['184', '1', '178', '238']
['161', '42', '145', '180']
['20', '61', '6', '223']
['226', '123', '237', '47']
['56', '209', '82', '243']
['224', '138', '67', '146']
['211', '108', '70', '135']
['208', '140', '165', '167']
['112', '177', '137', '74']
['193', '3', '125', '57']
['233', '118', '7']
['34', '234', '228', '149']
['185', '92', '113', '199']
['168', '163', '147', '246']
['121', '43', '181', '151']
['41', '17', '110', '39']
['120', '169', '131', '53']
['186', '77', '93', '215']
['153', '157', '79', '71']
['88', '219', '103', '247']
['136', '245', '68', '221']
['240', '0', '158', '111']
['54', '141', '222', '127']
['162', '171', '132']
['24', '249', '115', '183']
['104', '170', '22', '15']
['214', '164', '5', '126']
['46', '139', '182', '230']
['212', '188', '2', '84']
['66', '148', '45', '166']
['91', '109', '195', '175']
['129', '69', '190', '63']
['72', '201', '62', '143']
['97', '19', '236', '205']
['83', '196', '206', '87']
