['47', '88', '92', '209', '208', '53', '162', '137', '217', '214', '104', '27', '13', '365', '16', '283']
['381', '376', '386', '98', '205', '294', '67', '254', '197', '143', '279', '109', '227', '18', '157', '335']
['81', '341', '329', '94', '235', '195', '115', '9', '106', '213', '368', '21', '366', '364', '281', '380']
['383', '261', '48', '64', '96', '292', '164', '1', '271', '309', '275', '128', '352', '225', '10', '219']
['346', '46', '265', '269', '84', '255', '194', '166', '167', '179', '177', '127', '304', '130', '359', '285']
['372', '382', '326', '252', '238', '206', '290', '246', '116', '191', '125', '353', '186', '315', '185', '400']
['337', '324', '388', '387', '397', '45', '395', '398', '247', '231', '174', '172', '312', '39', '363', '154']
['345', '321', '348', '298', '59', '296', '248', '354', '307', '102', '188', '210', '20', '89', '29', '35']
['349', '91', '204', '113', '119', '163', '274', '133', '131', '228', '222', '369', '367', '150', '371', '156']
['344', '284', '332', '40', '51', '50', '72', '144', '121', '123', '357', '148', '173', '108', '183', '379']
['334', '201', '58', '57', '293', '86', '237', '70', '120', '273', '124', '229', '139', '224', '105', '4']
['287', '385', '200', '250', '257', '78', '242', '161', '276', '355', '310', '317', '215', '220', '14', '362']
['260', '297', '75', '63', '169', '190', '8', '192', '272', '356', '103', '311', '223', '189', '218', '280']
['323', '267', '44', '41', '291', '241', '79', '308', '300', '135', '181', '26', '38', '31', '151', '282']
['347', '390', '258', '196', '68', '253', '160', '140', '302', '132', '170', '136', '24', '212', '391', '361']
['327', '392', '389', '396', '394', '5', '239', '176', '306', '100', '216', '138', '3', '211', '288', '17']
['373', '80', '6', '90', '82', '55', '56', '87', '178', '175', '350', '134', '226', '25', '32', '15']
['159', '62', '286', '336', '330', '76', '7', '111', '118', '126', '171', '314', '221', '30', '19', '370']
['322', '393', '66', '199', '236', '71', '146', '193', '141', '2', '351', '318', '101', '153', '36', '152']
['320', '384', '49', '203', '93', '83', '198', '240', '243', '278', '305', '319', '182', '107', '184', '37']
['325', '266', '129', '69', '85', '256', '244', '230', '232', '73', '110', '147', '122', '303', '11', '33']
['28', '375', '342', '343', '328', '299', '358', '54', '97', '207', '251', '52', '114', '117', '338', '249']
['145', '374', '377', '149', '99', '313', '23', '202', '77', '165', '22', '289', '155', '34', '378', '270']
['142', '158', '331', '263', '262', '340', '333', '61', '264', '259', '399', '187', '295', '245', '74', '339']
['112', '301', '277', '60', '42', '43', '268', '95', '65', '180', '316', '234', '12', '168', '233', '360']
