['131', '421', '487', '169', '492', '493', '467', '472', '475', '479']
['129', '194', '289', '322', '13', '148', '313', '122', '123', '192']
['233', '235', '44', '236', '238', '86', '408', '251', '127', '32']
['355', '227', '230', '266', '45', '335', '116', '309', '276', '223']
['7', '391', '394', '494', '272', '22', '121', '444', '125', '447']
['97', '6', '270', '16', '401', '402', '304', '372', '405', '213']
['163', '393', '219', '175', '180', '88', '24', '90', '216', '158']
['486', '422', '18', '19', '244', '117', '403', '279', '440', '119']
['225', '362', '11', '333', '14', '145', '337', '51', '471', '124']
['482', '483', '165', '166', '489', '339', '275', '477', '351', '480']
['100', '71', '78', '15', '80', '246', '442', '190', '160']
['226', '5', '199', '106', '428', '303', '466', '310', '280', '474']
['103', '76', '462', '400', '242', '50', '341', '247', '375', '191']
['291', '292', '37', '229', '167', '40', '197', '184', '31', '352']
['1', '319', '4', '295', '104', '237', '177', '406', '157', '159']
['3', '293', '424', '456', '459', '430', '433', '344', '217', '478']
['34', '451', '232', '297', '300', '112', '179', '21', '378', '315']
['361', '330', '363', '269', '431', '368', '367', '434', '20', '64']
['33', '418', '419', '356', '261', '420', '75', '461', '156', '189']
['130', '195', '228', '99', '137', '397', '399', '464', '215', '128']
['257', '38', '455', '113', '465', '468', '342', '407', '470', '185']
['449', '98', '168', '426', '79', '181', '377', '91', '92', '93']
['290', '427', '364', '299', '366', '214', '55', '285', '284', '413']
['460', '141', '369', '178', '210', '373', '56', '58', '348', '221']
['108', '239', '207', '240', '314', '220', '29', '384']
['65', '258', '69', '390', '39', '305', '338', '30', '253', '286']
['417', '135', '41', '77', '370', '404', '87', '248', '409', '25']
['259', '320', '70', '282', '425', '265', '147', '218', '318', '96']
['132', '325', '327', '328', '395', '283', '173', '114', '411', '414']
['2', '101', '271', '81', '115', '52', '118', '311', '59', '61']
['260', '326', '136', '174', '306', '371', '53', '410', '252', '255']
['66', '485', '488', '171', '172', '107', '302', '85', '374', '152']
['36', '453', '358', '203', '278', '151', '376', '249', '26', '62']
['164', '201', '10', '43', '49', '54', '183', '250', '126', '383']
['457', '298', '140', '332', '142', '146', '437', '120', '381', '416']
['27', '267', '273', '274', '83', '340', '312', '154', '379']
['353', '450', '35', '345', '47', '48', '441', '60', '445', '256']
['193', '323', '231', '72', '73', '264', '12', '334', '346', '224']
['57', '296', '170', '458', '268', '396', '17', '439', '153', '187']
['67', '490', '429', '365', '495', '469', '281', '95', '94', '63']
['386', '452', '389', '454', '28', '138', '206', '343', '443', '380']
['42', '491', '336', '144', '307', '308', '84', '149', '382', '287']
['196', '263', '360', '9', '329', '8', '392', '176', '23']
['198', '105', '202', '463', '209', '89', '347', '412', '349', '350']
['385', '324', '262', '234', '204', '208', '186', '317', '222', '446']
['481', '162', '161', '387', '74', '205', '277', '438', '473', '254']
['321', '484', '133', '134', '301', '46', '398', '182', '155', '448']
['354', '357', '359', '200', '331', '110', '111', '82', '243', '436']
['68', '423', '139', '188', '143', '435', '150', '476', '316', '415']
['388', '102', '294', '109', '432', '241', '211', '212', '245', '288']
