['297', '490', '493', '496', '498', '339', '116', '499', '155', '127']
['35', '259', '197', '293', '304', '80', '150', '151', '249', '159']
['421', '233', '106', '425', '429', '467', '51', '436', '247', '248']
['231', '10', '491', '44', '269', '333', '78', '141', '410', '351']
['453', '102', '203', '461', '208', '24', '126', '283', '158', '287']
['481', '290', '356', '357', '358', '390', '424', '41', '133', '350']
['130', '70', '263', '391', '59', '399', '471', '280', '347', '252']
['384', '161', '418', '388', '167', '392', '395', '305', '146', '187']
['229', '459', '314', '79', '336', '50', '278', '216', '154', '222']
['289', '450', '419', '377', '398', '83', '309', '152', '89', '282']
['65', '162', '228', '486', '492', '272', '470', '439', '472', '414']
['288', '66', '37', '40', '299', '428', '237', '177', '402', '61']
['449', '325', '186', '489', '341', '378', '412', '445', '446', '191']
['451', '454', '42', '77', '430', '494', '372', '53', '406', '315']
['256', '352', '495', '464', '176', '367', '121', '443', '381', '254']
['64', '448', '355', '131', '165', '230', '441', '337', '338', '153']
['128', '98', '483', '9', '266', '364', '401', '403', '214', '382']
['387', '68', '361', '457', '140', '173', '431', '432', '497', '144']
['163', '101', '8', '201', '171', '210', '404', '84', '219', '284']
['484', '261', '38', '6', '329', '235', '368', '375', '376', '379']
['416', '385', '485', '11', '463', '400', '369', '19', '118', '220']
['135', '267', '12', '365', '366', '28', '31', '316', '124', '447']
['321', '258', '193', '2', '360', '328', '72', '143', '251', '317']
['192', '174', '178', '179', '468', '340', '182', '310', '189', '30']
['322', '99', '198', '262', '107', '240', '433', '93', '94', '286']
['160', '488', '265', '13', '334', '271', '14', '279', '409', '26']
['194', '166', '169', '442', '474', '85', '437', '23', '312', '250']
['257', '34', '168', '393', '200', '396', '236', '46', '307', '244']
['482', '362', '332', '142', '113', '242', '275', '117', '246', '63']
['32', '480', '423', '456', '39', '104', '145', '52', '215', '479']
['3', '195', '100', '294', '69', '5', '111', '473', '91', '476']
['386', '291', '270', '48', '49', '86', '380', '444', '253', '255']
['353', '71', '427', '460', '110', '434', '211', '212', '55', '217']
['417', '33', '226', '420', '292', '389', '330', '74', '313', '318']
['90', '327', '487', '415', '394', '202', '300', '405', '122', '95']
['136', '76', '206', '303', '207', '465', '370', '147', '213', '157']
['354', '4', '43', '172', '274', '148', '373', '374', '277', '56']
['96', '324', '134', '137', '139', '81', '273', '276', '88', '190']
['225', '67', '260', '138', '426', '462', '306', '21', '22', '218']
['227', '164', '359', '295', '234', '15', '17', '114', '311', '123']
['326', '264', '170', '397', '301', '112', '18', '180', '308', '87']
['224', '132', '199', '103', '458', '268', '302', '47', '407', '221']
['344', '281', '60', '335', '241', '209', '408', '185', '156', '62']
['320', '97', '205', '243', '245', '184', '57', '475', '92', '285']
['0', '1', '129', '455', '232', '175', '149', '54', '125', '319']
['196', '36', '296', '105', '45', '371', '181', '438', '440', '223']
['323', '73', '115', '342', '348', '345', '346', '188', '349', '383']
['7', '363', '204', '238', '16', '82', '435', '20', '119', '25']
['452', '422', '75', '331', '466', '183', '120', '58', '29', '343']
['298', '108', '109', '239', '411', '469', '413', '27', '477', '478']
