['50', '463', '137', '496', '322', '142', '72', '395', '42', '247']
['88', '95', '486', '208', '418', '416', '90', '164', '435', '381']
['352', '394', '158', '82', '320', '138', '114', '38', '427', '324']
['252', '223', '35', '25', '128', '184', '467', '172', '325', '51']
['47', '16', '221', '294', '162', '444', '211', '337', '369', '390']
['457', '44', '123', '34', '264', '272', '409', '269', '327', '468']
['287', '277', '301', '251', '144', '68', '261', '329', '399', '323']
['224', '31', '227', '359', '380', '70', '179', '379', '326', '139']
['341', '440', '391', '63', '185', '13', '297', '406', '293', '228']
['372', '159', '173', '204']
['134', '276', '485', '0', '351', '197', '57', '412', '126', '281']
['225', '59', '181', '278', '145', '407', '6', '46', '258', '71']
['426', '458', '408', '182', '300', '240', '32', '186', '441', '140']
['155', '218', '118', '490', '147', '104', '376', '330', '370', '87']
['434', '424', '171', '180', '481', '254', '83', '425', '492', '443']
['311', '146', '39', '389', '37', '449', '213', '74', '271', '396']
['98', '2', '295', '438', '66', '488', '194', '3', '456', '491']
['69', '499', '385', '192', '141', '19', '151', '157', '106', '58']
['497', '284', '263', '167', '283', '310', '233', '229', '4', '353']
['21', '328', '115', '239', '299', '201', '289', '200', '136', '454']
['345', '86', '302', '54', '417', '446', '20', '135', '81', '422']
['436', '484', '466', '420', '350', '187', '303', '9', '253', '371']
['195', '205', '61', '62', '7', '175', '92', '366', '178', '312']
['473', '378', '165', '89', '477', '49', '270', '209', '401', '78']
['238', '452', '439', '414', '36', '419', '368', '282', '335', '220']
['260', '400', '121', '430', '176', '404', '442', '161']
['344', '432', '236', '1', '207', '15', '112', '64', '494', '382']
['107', '403', '96', '285', '393', '275', '241', '79', '117', '445']
['23', '232', '245', '365', '94', '280', '244', '75', '116', '163']
['347', '413', '331', '402', '153', '421', '48', '29', '231', '267']
['120', '222', '188', '168', '256', '474', '498', '343', '133', '383']
['193', '349', '318', '40', '45', '405', '26', '109', '480', '216']
['259', '314', '316', '362', '103', '125', '234', '423', '210', '307']
['85', '212', '84', '472', '255', '479', '334', '91', '348', '317']
['129', '28', '451', '462', '292', '291', '296', '357', '475', '374']
['338', '30', '24', '101', '93', '265', '154', '215', '304', '274']
['309', '340', '130', '22', '17', '461', '55', '189', '447', '230']
['43', '386', '248', '429', '377', '202', '190', '12', '495', '288']
['392', '214', '250', '143', '198', '8', '470', '342', '27', '487']
['53', '459', '313', '321', '99', '398', '5', '387', '196', '476']
['160', '76', '18', '102', '273', '242', '41', '262', '453', '354']
['122', '363', '110', '336', '437', '308', '268', '52', '279', '203']
['478', '60', '306', '415', '177', '119', '174', '105', '124', '206']
['364', '356', '217', '183', '11', '305', '448', '170', '111', '56']
['235', '428', '339', '10', '257', '367', '469', '127', '191', '355']
['290', '315', '14', '410', '237', '483', '73', '108', '33', '482']
['384', '97', '298', '67', '465', '489', '433', '358', '332', '249']
['246', '460', '397', '286', '166', '360', '266', '346', '455', '150']
['243', '411', '464', '65', '156', '149', '493', '361', '132', '80']
['375', '319', '431', '152', '373', '169', '148', '333']
['131', '77', '100', '471', '388', '450', '199', '113', '226', '219']
