['647', '648', '129', '128', '329', '124', '53', '378', '724', '448']
['426', '337', '680', '521', '282', '634', '46', '526', '135', '555']
['309', '538', '640', '523', '6', '728', '742', '392', '87', '710']
['223', '245', '109', '66', '509', '725', '270', '232', '655', '592']
['686', '692', '657', '700', '721', '99', '761', '712', '798', '119']
['515', '351', '25', '406', '230', '422', '440', '629', '35', '541']
['305', '217', '176', '79', '390', '290', '204', '298', '642', '714']
['387', '23', '427', '374', '36', '697', '372', '377', '197', '393']
['55', '497', '83', '274', '571', '545', '179', '662', '306', '413']
['184', '726', '550', '557', '258', '623', '386', '85', '330', '71']
['402', '573', '27', '321', '182', '19', '489', '201', '237', '701']
['449', '175', '443', '729', '8', '688', '779', '774', '654', '160']
['209', '474', '750', '661', '717', '723', '300', '203', '403', '371']
['788', '238', '711', '625', '796', '664', '667', '791', '542', '345']
['26', '451', '310', '104', '341', '737', '669', '283', '616', '747']
['350', '705', '263', '454', '628', '606', '534', '751', '671', '199']
['96', '224', '537', '136', '455', '37', '425', '315', '477', '481']
['153', '44', '741', '362', '668', '382', '604', '492', '733', '581']
['762', '365', '466', '658', '317', '195', '476', '463', '167', '9']
['303', '225', '278', '471', '125', '58', '88', '520', '301', '676']
['316', '186', '709', '639', '603', '304', '552', '486', '530', '347']
['287', '144', '583', '63', '795', '715', '656', '84', '376', '110']
['89', '48', '565', '127', '205', '596', '517', '758', '388', '16']
['462', '39', '435', '134', '86', '546', '588', '764', '267', '785']
['3', '776', '295', '608', '115', '570', '218', '569', '226', '754']
['29', '94', '702', '472', '43', '707', '611', '308', '142', '438']
['760', '535', '531', '504', '118', '618', '265', '342', '423', '40']
['396', '446', '4', '394', '727', '734', '189', '799', '543', '682']
['516', '102', '585', '418', '60', '539', '349', '687', '254', '613']
['181', '646', '220', '738', '62', '38', '722', '536', '792', '417']
['744', '432', '453', '645', '459', '248', '18', '415', '500', '507']
['480', '367', '15', '221', '291', '139', '590', '192', '419', '356']
['620', '241', '252', '239', '353', '720', '544', '123', '689', '698']
['137', '576', '533', '244', '355', '400', '147', '307', '32', '568']
['47', '222', '488', '370', '215', '652', '572', '759', '335', '643']
['434', '749', '765', '212', '91', '216', '384', '428', '105', '753']
['313', '214', '338', '409', '236', '478', '391', '659', '92', '165']
['693', '429', '249', '627', '162', '633', '177', '421', '644', '574']
['31', '615', '416', '522', '170', '346', '235', '113', '447', '580']
['227', '11', '775', '748', '210', '117', '67', '582', '146', '280']
['294', '65', '736', '567', '482', '379', '598', '320', '323', '49']
['594', '180', '735', '508', '296', '694', '331', '183', '626', '718']
['51', '281', '424', '674', '208', '354', '563', '678', '368', '161']
['679', '369', '286', '364', '691', '52', '185', '336', '684', '503']
['297', '24', '332', '558', '352', '231', '112', '69', '578', '398']
['80', '64', '61', '641', '653', '163', '518', '262', '789', '240']
['140', '255', '211', '95', '41', '334', '553', '498', '470', '732']
['324', '622', '525', '272', '74', '473', '82', '30', '389', '28']
['475', '540', '456', '483', '630', '78', '793', '319', '666', '469']
['279', '794', '548', '752', '7', '436', '276', '430', '318', '22']
['246', '767', '269', '194', '755', '624', '487', '133', '233', '505']
['1', '619', '14', '59', '771', '193', '363', '635', '73', '325']
['213', '730', '229', '385', '268', '100', '311', '172', '358', '56']
['322', '719', '467', '68', '373', '412', '138', '190', '93', '302']
['361', '164', '120', '12', '2', '768', '607', '273', '264', '0']
['401', '770', '168', '495', '713', '519', '766', '514', '660', '561']
['605', '169', '70', '206', '266', '10', '485', '663', '256', '452']
['357', '672', '683', '171', '756', '57', '638', '757', '491', '108']
['42', '77', '617', '675', '219', '131', '556', '442', '621', '111']
['293', '696', '90', '465', '433', '188', '348', '261', '450', '97']
['107', '156', '158', '597', '441', '381', '404', '584', '716', '327']
['106', '549', '704', '76', '651', '564', '554', '103', '173', '575']
['343', '145', '591', '149', '13', '524', '746', '739', '20', '499']
['506', '259', '699', '34', '614', '706', '743', '155', '191', '253']
['703', '148', '458', '247', '600', '501', '292', '121', '787', '527']
['333', '50', '784', '5', '21', '496', '547', '484', '151', '783']
['612', '650', '636', '17', '579', '251', '122', '528', '344', '383']
['437', '101', '178', '196', '157', '132', '439', '602', '366', '72']
['745', '690', '141', '284', '685', '395', '242', '566', '577', '532']
['609', '560', '326', '150', '610', '431', '410', '649', '360', '411']
['731', '490', '513', '200', '681', '257', '510', '260', '695', '461']
['586', '601', '277', '143', '375', '166', '114', '359', '512', '772']
['98', '673', '312', '773', '116', '414', '493', '228', '243', '202']
['511', '479', '670', '763', '234', '407', '54', '75', '420', '288']
['207', '271', '551', '314', '299', '444', '740', '339', '529', '457']
['786', '33', '797', '445', '289', '380', '677', '631', '408', '637']
['781', '45', '593', '154', '159', '780', '397', '494', '790', '559']
['562', '632', '250', '782', '460', '152', '285', '502', '769', '275']
['198', '468', '340', '589', '130', '708', '587', '599', '665', '405']
['464', '777', '81', '187', '328', '399', '778', '174', '595', '126']
