['30', '699', '852', '252', '45']
['606', '478', '371', '102', '546']
['242', '906', '577', '615', '809']
['586', '594', '388', '385', '118']
['269', '769', '774', '814', '377']
['700', '784', '830', '626', '590']
['101', '489', '378', '827', '689']
['104', '650', '957', '517', '183']
['195', '640', '811', '142', '280']
['623', '245', '822', '488', '225']
['261', '647', '691', '508', '568']
['978', '613', '929', '989', '637']
['882', '295', '980', '131', '649']
['401', '499', '159', '714', '187']
['902', '36', '149', '44', '296']
['496', '395', '463', '402', '487']
['528', '797', '95', '3', '452']
['467', '316', '553', '77', '715']
['884', '831', '636', '231', '512']
['141', '328', '927', '139', '233']
['837', '243', '657', '875', '960']
['216', '584', '350', '862', '32']
['248', '942', '23', '116', '509']
['61', '998', '249', '739', '648']
['538', '663', '490', '421', '639']
['145', '471', '97', '390', '836']
['96', '958', '121', '169', '297']
['891', '972', '624', '196', '572']
['365', '264', '910', '885', '954']
['364', '288', '778', '481', '48']
['256', '65', '320', '460', '163']
['38', '340', '495', '132', '74']
['541', '336', '618', '17', '905']
['911', '828', '588', '890', '520']
['185', '67', '209', '542', '266']
['863', '687', '745', '321', '287']
['821', '306', '193', '450', '259']
['918', '883', '309', '420', '407']
['720', '302', '563', '662', '733']
['786', '682', '833', '988', '561']
['18', '386', '239', '338', '625']
['457', '987', '423', '26', '788']
['462', '72', '449', '49', '731']
['56', '556', '493', '826', '472']
['276', '262', '608', '823', '574']
['312', '755', '57', '204', '644']
['944', '246', '661', '848', '376']
['531', '456', '480', '433', '181']
['793', '500', '672', '993', '878']
['899', '329', '951', '502', '226']
['544', '696', '889', '426', '580']
['85', '964', '94', '858', '479']
['387', '124', '397', '915', '984']
['813', '299', '761', '579', '168']
['750', '357', '162', '936', '260']
['724', '654', '928', '800', '301']
['201', '795', '896', '437', '33']
['633', '789', '126', '164', '605']
['271', '673', '443', '539', '483']
['105', '411', '535', '871', '323']
['728', '757', '698', '108', '81']
['596', '345', '973', '894', '756']
['887', '362', '898', '0', '16']
['971', '939', '888', '70', '184']
['283', '924', '950', '805', '604']
['753', '963', '943', '35', '140']
['585', '854', '405', '668', '474']
['194', '737', '396', '13', '12']
['424', '383', '224', '138', '454']
['212', '157', '247', '560', '587']
['603', '50', '801', '326', '645']
['819', '343', '946', '429', '359']
['441', '516', '816', '307', '930']
['207', '332', '135', '725', '913']
['977', '464', '762', '578', '274']
['222', '692', '363', '796', '723']
['922', '197', '46', '189', '128']
['543', '684', '174', '111', '41']
['286', '752', '975', '619', '459']
['370', '419', '938', '14', '83']
['708', '206', '453', '208', '773']
['494', '758', '919', '681', '581']
['844', '272', '228', '547', '686']
['310', '367', '629', '872', '997']
['90', '394', '303', '384', '190']
['764', '812', '802', '507', '967']
['92', '916', '982', '780', '665']
['179', '599', '447', '865', '219']
['674', '607', '289', '670', '551']
['263', '59', '348', '305', '203']
['399', '148', '251', '54', '652']
['876', '839', '770', '470', '907']
['734', '368', '526', '103', '741']
['818', '412', '656', '1', '953']
['630', '842', '380', '486', '176']
['428', '446', '360', '815', '735']
['880', '492', '999', '853', '846']
['172', '962', '98', '791', '300']
['82', '325', '985', '679', '952']
['250', '641', '327', '638', '744']
['322', '667', '810', '461', '598']
['205', '341', '781', '27', '676']
['969', '123', '24', '147', '976']
['448', '372', '861', '881', '293']
['432', '706', '537', '945', '381']
['444', '558', '241', '996', '182']
['722', '829', '31', '318', '416']
['337', '484', '908', '817', '435']
['434', '536', '227', '358', '120']
['986', '106', '279', '743', '941']
['475', '171', '549', '712', '717']
['158', '912', '188', '425', '794']
['772', '841', '75', '267', '114']
['220', '409', '847', '254', '859']
['597', '856', '28', '690', '677']
['870', '152', '37', '21', '404']
['886', '529', '166', '258', '688']
['199', '281', '576', '64', '200']
['170', '790', '117', '803', '693']
['468', '527', '349', '143', '89']
['658', '721', '324', '713', '351']
['55', '897', '931', '154', '518']
['122', '601', '925', '115', '716']
['935', '771', '530', '51', '91']
['60', '415', '552', '430', '697']
['198', '868', '58', '533', '352']
['995', '920', '933', '554', '79']
['754', '513', '609', '29', '165']
['374', '311', '835', '253', '277']
['834', '78', '532', '11', '214']
['238', '983', '86', '167', '748']
['146', '346', '510', '867', '40']
['375', '593', '292', '215', '940']
['961', '134', '851', '738', '213']
['129', '808', '505', '73', '610']
['873', '893', '413', '315', '514']
['42', '767', '787', '727', '66']
['268', '632', '701', '136', '400']
['273', '361', '39', '519', '511']
['355', '20', '683', '671', '202']
['155', '523', '52', '244', '703']
['389', '439', '659', '466', '678']
['175', '88', '642', '653', '901']
['178', '726', '914', '892', '156']
['130', '855', '777', '414', '211']
['403', '330', '298', '15', '234']
['932', '550', '562', '564', '634']
['710', '751', '575', '521', '524']
['482', '69', '53', '5', '845']
['760', '408', '807', '356', '291']
['125', '451', '782', '635', '614']
['525', '161', '19', '127', '595']
['694', '9', '339', '476', '627']
['820', '522', '290', '497', '866']
['63', '955', '237', '612', '369']
['76', '353', '160', '236', '445']
['133', '314', '112', '240', '87']
['798', '191', '498', '223', '545']
['843', '491', '825', '994', '442']
['903', '768', '900', '949', '534']
['25', '406', '113', '747', '879']
['485', '144', '221', '799', '270']
['417', '711', '926', '354', '991']
['217', '10', '344', '255', '473']
['620', '869', '186', '718', '555']
['583', '504', '840', '759', '2']
['732', '729', '7', '180', '313']
['749', '137', '909', '783', '959']
['153', '68', '150', '709', '582']
['440', '832', '775', '592', '100']
['804', '763', '465', '979', '621']
['230', '4', '257', '730', '990']
['695', '47', '947', '921', '366']
['392', '655', '80', '515', '569']
['382', '573', '333', '622', '742']
['331', '109', '707', '294', '6']
['860', '617', '968', '705', '304']
['600', '746', '666', '335', '824']
['806', '232', '275', '874', '857']
['458', '317', '736', '8', '229']
['877', '22', '966', '934', '119']
['278', '571', '373', '506', '285']
['680', '704', '501', '992', '210']
['895', '611', '591', '43', '422']
['766', '923', '646', '71', '779']
['981', '284', '669', '334', '398']
['565', '319', '643', '418', '937']
['702', '740', '660', '849', '379']
['93', '218', '664', '685', '431']
['570', '765', '838', '110', '436']
['503', '956', '347', '427', '850']
['477', '675', '785', '917', '151']
['776', '469', '393', '965', '455']
['974', '589', '566', '548', '235']
['719', '308', '438', '34', '107']
['864', '173', '792', '602', '559']
