['35', '456', '454', '379', '429', '360', '173', '34', '198', '314']
['499', '255', '320', '236', '498', '24', '287', '62', '422', '364']
['490', '233', '137', '298', '286', '315', '399', '265', '20', '107']
['234', '26', '199', '479', '134', '5', '30', '467', '56', '271']
['65', '381', '316', '91', '109', '90', '376', '235', '476', '300']
['162', '288', '382', '491', '401', '186', '163', '119', '216', '204']
['303', '238', '268', '172', '270', '152', '322', '416', '249', '96']
['328', '330', '246', '100', '74', '383', '391', '37', '244', '161']
['113', '407', '188', '147', '105', '444', '9', '372', '115', '72']
['85', '36', '258', '311', '164', '201', '112', '151', '203', '373']
['248', '197', '31', '48', '358', '313', '412', '184', '122', '144']
['43', '439', '437', '18', '93', '324', '347', '353', '417', '445']
['49', '104', '344', '317', '84', '488', '127', '60', '114', '336']
['349', '304', '291', '150', '466', '193', '489', '138', '145', '80']
['438', '296', '120', '362', '318', '245', '110', '242', '283', '474']
['7', '73', '190', '341', '223', '380', '212', '15', '254', '469']
['355', '78', '302', '420', '240', '189', '387', '165', '428', '177']
['450', '68', '335', '345', '459', '14', '205', '461', '40', '493']
['309', '423', '101', '133', '2', '32', '259', '312', '21', '306']
['207', '12', '247', '160', '492', '86', '239', '262', '323', '451']
['226', '430', '394', '46', '431', '44', '494', '79', '486', '447']
['278', '11', '22', '366', '392', '427', '367', '297', '126', '38']
['321', '106', '326', '220', '71', '102', '103', '331', '276', '460']
['329', '99', '342', '290', '448', '230', '125', '196', '495', '166']
['352', '305', '64', '256', '183', '396', '404', '3', '237', '264']
['279', '95', '241', '348', '228', '457', '421', '194', '435', '63']
['195', '187', '455', '121', '277', '384', '176', '130', '377', '332']
['1', '408', '398', '83', '168', '462', '124', '294', '139', '169']
['433', '251', '357', '153', '75', '219', '50', '55', '350', '232']
['393', '292', '351', '250', '159', '481', '8', '206', '434', '25']
['41', '464', '208', '473', '179', '307', '361', '149', '452', '82']
['28', '174', '386', '310', '405', '411', '140', '432', '70', '458']
['123', '52', '136', '443', '89', '280', '449', '402', '470', '88']
['4', '282', '67', '370', '45', '308', '497', '132', '337', '57']
['272', '400', '339', '436', '58', '167', '485', '419', '257', '471']
['403', '284', '222', '346', '267', '200', '225', '299', '484', '472']
['418', '182', '47', '158', '293', '463', '275', '215', '146', '266']
['213', '343', '369', '483', '340', '59', '42', '202', '54', '354']
['92', '27', '378', '118', '39', '397', '180', '157', '211', '231']
['51', '365', '155', '129', '143', '285', '274', '385', '487', '252']
['148', '414', '269', '94', '426', '29', '77', '334', '98', '13']
['424', '111', '413', '116', '261', '16', '135', '61', '263', '371']
['131', '141', '442', '446', '482', '359', '221', '478', '108', '253']
['243', '17', '171', '170', '23', '209', '440', '87', '356', '218']
['453', '388', '496', '395', '425', '19', '128', '214', '156', '319']
['327', '185', '53', '406', '178', '6', '281', '191', '289', '333']
['338', '390', '10', '33', '410', '409', '475', '295', '154', '76']
['66', '477', '389', '224', '260', '117', '192', '142', '273', '368']
['175', '468', '217', '325', '441', '465', '415', '375', '210', '69']
['97', '181', '374', '81', '363', '480', '301', '229', '0', '227']
