['51', '792', '615', '298', '892', '811', '440', '328', '714', '550', '428', '671', '142', '3', '366', '393', '765', '934', '791', '265']
['368', '549', '70', '286', '964', '133', '657', '533', '595', '783', '234', '31', '284', '346', '188', '867', '350', '716', '556', '866']
['291', '231', '969', '547', '471', '73', '905', '830', '541', '382', '490', '900', '899', '209', '167', '376', '896', '926', '420', '784']
['918', '922', '332', '865', '725', '108', '131', '563', '836', '532', '543', '307', '916', '445', '388', '470', '466', '463', '966', '29']
['203', '255', '259', '689', '825', '780', '57', '395', '722', '517', '977', '163', '389', '911', '387', '669', '709', '315', '397', '778']
['161', '281', '178', '730', '551', '312', '340', '559', '402', '462', '786', '772', '248', '480', '292', '468', '467', '233', '831', '734']
['544', '47', '612', '538', '600', '519', '127', '663', '120', '987', '486', '862', '374', '78', '703', '110', '82', '170', '390', '274']
['453', '24', '371', '305', '991', '435', '197', '518', '252', '743', '267', '59', '481', '63', '454', '287', '802', '578', '914', '650']
['537', '270', '652', '268', '812', '97', '380', '560', '687', '422', '594', '501', '561', '870', '92', '392', '686', '638', '345', '605']
['894', '226', '244', '96', '76', '177', '759', '851', '277', '771', '324', '569', '731', '88', '940', '85', '0', '116', '845', '942']
['546', '951', '9', '83', '729', '534', '516', '372', '670', '752', '377', '423', '400', '744', '479', '449', '500', '358', '141', '4']
['506', '614', '67', '613', '139', '409', '391', '424', '119', '838', '610', '12', '232', '542', '257', '912', '115', '880', '807', '339']
['249', '308', '145', '782', '198', '946', '834', '859', '147', '721', '40', '816', '191', '640', '86', '840', '406', '976', '437', '15']
['748', '263', '795', '475', '152', '75', '53', '756', '228', '986', '337', '963', '515', '451', '158', '617', '427', '994', '458', '150']
['155', '194', '401', '837', '112', '331', '886', '121', '751', '625', '510', '513', '154', '201', '601', '418', '214', '262', '924', '412']
['952', '858', '620', '460', '476', '528', '430', '488', '13', '606', '643', '854', '272', '589', '464', '186', '959', '2', '10', '675']
['683', '222', '439', '330', '370', '385', '972', '474', '179', '639', '45', '104', '95', '483', '507', '183', '349', '698', '835', '971']
['148', '316', '804', '693', '821', '236', '171', '593', '359', '260', '910', '487', '719', '326', '229', '566', '205', '41', '137', '921']
['826', '739', '338', '280', '661', '608', '884', '984', '356', '993', '562', '761', '666', '125', '692', '672', '512', '850', '37', '847']
['920', '192', '111', '224', '864', '300', '723', '908', '182', '333', '960', '485', '997', '207', '839', '919', '979', '844', '677', '258']
['941', '318', '577', '691', '530', '898', '288', '295', '219', '245', '915', '441', '660', '172', '575', '990', '829', '341', '583', '673']
['42', '877', '411', '618', '438', '646', '790', '212', '796', '505', '521', '629', '327', '852', '434', '888', '433', '176', '334', '122']
['705', '54', '658', '525', '775', '499', '91', '758', '181', '967', '491', '180', '285', '20', '931', '588', '64', '275', '753', '637']
['98', '841', '754', '998', '621', '18', '985', '868', '134', '982', '955', '498', '52', '694', '742', '159', '688', '129', '704', '311']
['221', '237', '363', '242', '820', '87', '882', '11', '405', '861', '335', '787', '504', '135', '973', '235', '928', '789', '6', '893']
['164', '702', '202', '904', '901', '529', '995', '843', '574', '923', '653', '958', '961', '89', '895', '309', '210', '84', '173', '151']
['276', '939', '591', '649', '860', '297', '641', '457', '887', '788', '798', '581', '156', '536', '726', '879', '273', '90', '23', '764']
['278', '360', '953', '32', '932', '344', '240', '303', '187', '196', '599', '587', '381', '707', '667', '279', '14', '622', '580', '46']
['184', '325', '576', '220', '699', '199', '728', '261', '367', '426', '590', '948', '989', '623', '66', '539', '733', '238', '153', '824']
['429', '878', '975', '477', '373', '336', '493', '808', '981', '757', '269', '596', '631', '93', '364', '162', '472', '555', '168', '408']
['813', '369', '684', '30', '407', '132', '585', '567', '68', '33', '876', '927', '634', '8', '74', '992', '875', '700', '494', '136']
['217', '289', '954', '935', '299', '296', '956', '936', '531', '218', '61', '144', '540', '805', '283', '750', '763', '735', '965', '717']
['174', '319', '974', '65', '619', '799', '375', '874', '138', '72', '945', '943', '774', '50', '106', '130', '495', '579', '711', '421']
['902', '383', '216', '128', '403', '624', '166', '157', '227', '39', '124', '208', '304', '883', '502', '60', '313', '727', '114', '558']
['970', '113', '760', '353', '69', '524', '582', '777', '492', '701', '461', '762', '314', '832', '846', '773', '28', '897', '160', '523']
