['280', '699', '773', '81', '478', '676', '202', '430', '799', '53']
['735', '424', '180', '565', '151', '141', '18', '581', '10', '136']
['264', '427', '240', '729', '734', '539', '609', '216', '494', '334']
['307', '125', '617', '422', '105', '178', '76', '138', '23', '28']
['348', '206', '4', '598', '139', '91', '111', '591', '335', '739']
['51', '795', '78', '493', '65', '463', '465', '633', '238', '533']
['571', '155', '306', '655', '523', '107', '528', '127', '723', '628']
['90', '776', '131', '247', '338', '763', '597', '297', '34', '703']
['561', '137', '637', '124', '63', '64', '752', '516', '606', '449']
['267', '610', '753', '301', '69', '560', '248', '425', '234', '88']
['746', '48', '184', '140', '748', '215', '27', '333', '279', '784']
['171', '323', '67', '303', '106', '199', '351', '441', '273', '364']
['439', '662', '325', '580', '677', '534', '14', '152', '11', '532']
['57', '644', '394', '547', '345', '144', '780', '268', '9', '579']
['102', '160', '721', '82', '243', '31', '294', '562', '683', '787']
['320', '586', '577', '499', '754', '148', '153', '673', '356', '183']
['563', '718', '498', '701', '691', '415', '60', '447', '599', '556']
['711', '187', '46', '17', '132', '653', '73', '646', '42', '220']
['150', '36', '337', '789', '237', '413', '156', '769', '98', '143']
['305', '288', '145', '426', '704', '402', '798', '146', '311', '302']
['491', '30', '765', '457', '255', '724', '612', '318', '336', '223']
['464', '408', '712', '259', '25', '540', '22', '642', '720', '176']
['154', '120', '291', '113', '550', '263', '791', '232', '685', '266']
['246', '675', '650', '757', '553', '245', '772', '760', '122', '5']
['716', '344', '777', '392', '774', '433', '326', '520', '295', '569']
['194', '743', '339', '707', '443', '258', '372', '353', '660', '20']
['761', '173', '373', '797', '205', '669', '278', '771', '749', '188']
['686', '370', '695', '6', '134', '388', '379', '778', '349', '573']
['12', '625', '328', '417', '593', '453', '316', '358', '432', '728']
['519', '764', '312', '218', '709', '474', '167', '659', '8', '365']
['169', '526', '374', '682', '343', '545', '331', '165', '584', '163']
['627', '380', '322', '531', '661', '557', '55', '755', '87', '792']
['616', '227', '287', '222', '37', '114', '793', '744', '360', '359']
['782', '47', '647', '621', '487', '362', '496', '66', '207', '292']
['640', '742', '24', '376', '242', '473', '62', '602', '541', '315']
['385', '54', '730', '679', '193', '126', '641', '50', '371', '92']
['7', '354', '93', '179', '785', '515', '219', '607', '75', '296']
['756', '209', '174', '738', '693', '592', '719', '680', '697', '476']
['419', '357', '469', '363', '204', '355', '201', '527', '423', '670']
['450', '123', '578', '736', '582', '112', '226', '233', '698', '630']
['690', '252', '548', '389', '672', '576', '377', '314', '786', '472']
['368', '461', '559', '658', '619', '460', '213', '702', '97', '448']
['733', '666', '308', '100', '158', '61', '608', '762', '634', '340']
['284', '489', '378', '192', '544', '19', '605', '103', '341', '575']
['543', '200', '583', '400', '250', '96', '694', '529', '477', '558']
['271', '313', '654', '195', '79', '564', '116', '407', '52', '603']
['631', '135', '604', '262', '506', '147', '740', '459', '196', '794']
['435', '386', '395', '411', '230', '767', '244', '68', '652', '321']
['281', '484', '208', '552', '434', '225', '546', '224', '587', '595']
['104', '221', '396', '327', '451', '651', '725', '512', '475', '390']
['181', '84', '623', '129', '74', '618', '410', '554', '166', '412']
['741', '656', '766', '119', '346', '21', '401', '403', '759', '130']
['687', '648', '101', '133', '257', '324', '444', '538', '164', '431']
['416', '3', '692', '304', '186', '110', '585', '249', '796', '445']
['688', '382', '521', '168', '600', '436', '684', '727', '45', '414']
['492', '639', '70', '177', '109', '614', '231', '620', '265', '705']
['518', '429', '486', '352', '260', '567', '437', '94', '418', '551']
['596', '203', '751', '161', '310', '588', '29', '428', '405', '170']
['72', '16', '467', '490', '468', '300', '745', '330', '56', '71']
['779', '391', '715', '15', '39', '290', '737', '347', '508', '270']
['285', '332', '714', '454', '393', '128', '235', '0', '398', '635']
['210', '272', '172', '790', '624', '497', '462', '708', '643', '470']
['282', '275', '572', '77', '149', '41', '731', '456', '611', '674']
['383', '471', '420', '369', '722', '638', '458', '350', '770', '274']
['118', '115', '535', '500', '58', '481', '269', '505', '283', '510']
['570', '375', '747', '277', '59', '664', '239', '256', '645', '555']
['409', '32', '665', '185', '514', '788', '775', '522', '191', '590']
['276', '251', '438', '397', '40', '317', '399', '530', '502', '668']
['421', '121', '299', '175', '594', '615', '214', '726', '189', '678']
['629', '33', '466', '681', '190', '253', '26', '99', '387', '217']
['485', '198', '517', '381', '367', '589', '108', '329', '632', '622']
['613', '781', '601', '159', '38', '162', '442', '197', '86', '406']
['503', '713', '440', '542', '482', '293', '700', '479', '95', '501']
['480', '513', '657', '696', '366', '455', '663', '309', '228', '710']
['211', '549', '758', '768', '483', '706', '783', '452', '241', '85']
['671', '537', '13', '157', '212', '717', '236', '626', '384', '298']
['2', '488', '80', '117', '261', '289', '361', '525', '342', '319']
['43', '689', '750', '524', '495', '568', '49', '636', '649', '732']
['89', '44', '574', '667', '182', '511', '504', '404', '507', '142']
['509', '536', '566', '446', '286', '1', '83', '229', '254', '35']
