['689', '669', '244', '872', '82', '501', '739', '617', '317', '952']
['983', '407', '539', '279', '131', '748', '944', '208', '731', '655']
['879', '815', '184', '219', '956', '687', '198', '647', '28', '846']
['469', '250', '55', '142', '630', '416', '763', '877', '800', '836']
['935', '579', '177', '129', '362', '722', '588', '40', '498', '618']
['361', '39', '10', '249', '107', '482', '332', '770', '315', '978']
['456', '495', '149', '685', '366', '909', '509', '849', '417', '907']
['241', '847', '176', '204', '145', '543', '475', '573', '787', '780']
['351', '859', '175', '99', '990', '206', '832', '37', '712', '829']
['121', '853', '620', '170', '848', '719', '336', '369', '52', '905']
['337', '209', '881', '788', '375', '738', '49', '737', '883', '725']
['860', '582', '702', '942', '476', '827', '672', '3', '186', '160']
['562', '321', '59', '66', '62', '726', '290', '347', '807', '355']
['749', '491', '936', '232', '236', '764', '412', '527', '430', '11']
['918', '709', '266', '596', '889', '940', '245', '210', '192', '508']
['773', '439', '63', '181', '403', '856', '442', '196', '346', '868']
['561', '662', '78', '875', '111', '642', '395', '648', '676', '945']
['284', '419', '792', '406', '759', '947', '601', '458', '12', '427']
['658', '555', '816', '556', '165', '380', '781', '958', '162', '104']
['264', '949', '637', '929', '521', '84', '161', '233', '688', '237']
['633', '723', '975', '567', '932', '382', '287', '593', '870', '205']
['60', '334', '77', '179', '810', '744', '786', '720', '629', '621']
['619', '915', '524', '372', '89', '695', '286', '496', '747', '247']
['193', '710', '891', '411', '202', '616', '606', '503', '281', '136']
['414', '488', '415', '650', '840', '108', '783', '569', '125', '383']
['733', '338', '329', '817', '8', '22', '839', '252', '656', '651']
['729', '207', '805', '70', '153', '20', '742', '30', '819', '734']
['895', '785', '798', '113', '452', '32', '115', '678', '772', '638']
['494', '168', '269', '707', '4', '72', '242', '360', '644', '401']
['898', '433', '526', '867', '528', '716', '91', '235', '973', '760']
['304', '147', '529', '311', '811', '659', '595', '310', '824', '874']
['622', '912', '396', '696', '472', '994', '538', '394', '418', '195']
['306', '713', '765', '413', '276', '976', '216', '714', '968', '730']
['6', '634', '212', '471', '613', '130', '434', '340', '400', '190']
['101', '289', '823', '224', '370', '654', '459', '203', '566', '697']
['842', '423', '505', '421', '677', '163', '363', '143', '996', '992']
['487', '683', '240', '183', '138', '553', '119', '536', '984', '686']
['769', '280', '41', '512', '127', '878', '258', '548', '87', '180']
['774', '76', '43', '79', '610', '275', '314', '353', '558', '339']
['890', '320', '673', '227', '379', '782', '17', '466', '257', '328']
['808', '910', '33', '261', '694', '428', '591', '876', '532', '103']
['979', '348', '652', '636', '896', '238', '934', '919', '201', '806']
['464', '963', '641', '768', '960', '157', '565', '801', '735', '667']
['855', '926', '589', '318', '461', '454', '590', '777', '367', '802']
['882', '313', '95', '741', '962', '117', '500', '432', '301', '214']
['368', '814', '592', '717', '557', '270', '938', '297', '812', '288']
['551', '831', '779', '16', '243', '600', '628', '146', '151', '457']
['755', '150', '624', '148', '333', '668', '516', '799', '490', '570']
['229', '335', '97', '663', '436', '422', '325', '364', '971', '451']
['933', '71', '568', '492', '851', '784', '100', '189', '841', '447']
['670', '251', '462', '371', '834', '38', '21', '222', '0', '166']
['681', '478', '156', '7', '513', '803', '300', '698', '45', '220']
['757', '200', '299', '221', '455', '894', '837', '493', '602', '941']
['2', '385', '611', '753', '114', '559', '126', '408', '830', '701']
['357', '260', '504', '661', '312', '871', '982', '34', '921', '228']
['106', '393', '90', '263', '519', '377', '112', '354', '974', '182']
['94', '640', '660', '862', '191', '549', '653', '64', '218', '608']
['424', '999', '796', '308', '51', '319', '291', '607', '159', '441']
['392', '665', '410', '155', '88', '583', '902', '923', '682', '465']
