['11', '133', '470', '274', '196', '758', '886', '922', '200', '979']
['554', '882', '753', '694', '936', '955', '970', '993', '807', '514']
['643', '203', '995', '977', '89', '264', '871', '434', '946', '953']
['377', '647', '406', '870', '879', '223', '41', '671', '706', '454']
['106', '359', '926', '63', '295', '355', '0', '839', '971', '534']
['238', '468', '624', '617', '912', '536', '715', '425', '755', '652']
['702', '1', '517', '847', '521', '73', '287', '320', '207', '597']
['123', '245', '861', '211', '900', '868', '289', '318', '734', '66']
['774', '858', '342', '37', '86', '880', '343', '276', '602', '36']
['354', '803', '570', '272', '674', '117', '762', '627', '9', '579']
['728', '407', '293', '527', '286', '162', '398', '937', '883', '479']
['552', '689', '43', '435', '94', '477', '564', '15', '576', '115']
['525', '257', '720', '442', '208', '190', '793', '376', '831', '258']
['951', '918', '718', '22', '339', '713', '653', '742', '555', '225']
['167', '662', '174', '3', '508', '704', '619', '370', '731', '469']
['300', '222', '281', '131', '485', '530', '565', '164', '848', '723']
['448', '79', '504', '705', '103', '234', '250', '567', '450', '948']
['185', '248', '890', '821', '315', '399', '724', '389', '917', '76']
['646', '985', '226', '855', '766', '491', '859', '202', '147', '32']
['592', '666', '608', '331', '408', '820', '88', '267', '230', '172']
['806', '34', '476', '137', '363', '253', '231', '968', '999', '349']
['725', '67', '96', '235', '640', '181', '615', '53', '31', '350']
['325', '214', '741', '729', '501', '92', '108', '396', '595', '545']
['604', '499', '375', '605', '199', '924', '244', '574', '143', '420']
['621', '618', '895', '313', '873', '439', '676', '686', '340', '362']
['726', '296', '46', '151', '126', '632', '623', '994', '458', '772']
['390', '975', '568', '90', '249', '480', '97', '91', '600', '658']
['101', '237', '461', '665', '21', '393', '681', '467', '242', '146']
['482', '791', '743', '794', '456', '582', '144', '845', '830', '259']
['638', '996', '271', '254', '945', '588', '414', '100', '348', '511']
['436', '308', '707', '767', '572', '107', '688', '261', '191', '492']
['486', '302', '797', '213', '427', '385', '770', '438', '818', '708']
['52', '867', '634', '301', '417', '314', '884', '578', '170', '62']
['997', '218', '943', '842', '484', '282', '934', '236', '819', '661']
['159', '920', '522', '573', '56', '712', '668', '351', '83', '939']
['614', '642', '5', '204', '305', '148', '693', '599', '217', '589']
['769', '142', '849', '233', '603', '963', '916', '169', '205', '835']
['42', '110', '641', '68', '495', '251', '175', '899', '14', '84']
['949', '381', '630', '903', '74', '740', '894', '265', '4', '810']
['141', '644', '152', '229', '411', '541', '270', '685', '799', '99']
['466', '947', '291', '423', '38', '801', '852', '843', '87', '601']
['836', '684', '932', '419', '334', '44', '109', '262', '347', '358']
['533', '513', '330', '910', '784', '866', '915', '609', '761', '828']
['171', '441', '471', '558', '19', '682', '173', '328', '547', '28']
['474', '429', '364', '192', '872', '243', '701', '437', '69', '294']
['832', '931', '10', '980', '168', '902', '304', '451', '887', '215']
['656', '138', '462', '833', '695', '580', '379', '460', '593', '944']
['488', '664', '697', '544', '982', '247', '134', '178', '692', '505']
['635', '430', '851', '616', '811', '841', '317', '888', '636', '540']
['507', '497', '111', '357', '132', '401', '846', '732', '80', '64']
['187', '13', '16', '892', '844', '710', '754', '962', '744', '193']
['303', '539', '891', '445', '260', '310', '221', '156', '299', '516']
['863', '71', '269', '500', '424', '383', '553', '18', '625', '927']
['563', '711', '543', '404', '650', '840', '633', '984', '498', '815']
['745', '163', '991', '366', '378', '923', '392', '47', '422', '397']
['113', '938', '804', '746', '814', '992', '72', '878', '140', '186']
